Unnamed: 0,VIN,Price,Year,Make,Model.Group,Model.Detail,Body.Style,Color,Damage.Description,Odometer,Est..Retail.Value,Repair.cost,Engine,Drive,Cylinders,Sale.Status,ImportPrice
233,1HGCR2F14HA231683,8100,2017,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,WHITE,Rear,54187,16966,0,2.4,F,4,Pure,3533
234,1HGCR2F57HA005723,3250,2017,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,WHITE,Side,26185,18745,16445,2.4,F,4,Minimum,5717
235,19XFC2F54HE053044,3100,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,GRAY,Side,26445,15445,12890,2.0,F,4,Minimum,3196
236,19XFC2F79HE048018,3800,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLACK,ALL OVER,27181,17073,14980,2.0,F,4,Minimum,3118
237,1HGCR2F14HA083888,6600,2017,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,GRAY,Front,38486,16755,14450,2.4,F,4,Minimum,3482
238,1HGCT1B73HA002370,4600,2017,HONDA,ACCORD EX,ACCORD EX,COUPE,CHARCOAL,Front,44965,16696,10830,2.4,F,4,Minimum,4937
239,19XFC2F73HE004998,3700,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,GRAY,Front,40153,14733,0,2.0,F,4,Minimum,3898
240,1HGCR2F80HA254987,6100,2017,HONDA,ACCORD EXL,ACCORD EXL,SEDAN 4D,SILVER,Front,25207,20549,0,2.4,F,4,Minimum,3429
241,19XFC1F38HE008021,4050,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,WHITE,Front,35275,14554,8783,1.5,F,4,Pure,4677
242,1HGCR2F37HA042401,5100,2017,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,MAROON,Side,27865,18115,14157,2.4,F,4,Pure,3612
243,2HGFC2F50HH514729,4100,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BLACK,Front,26457,16255,92637,2.0,F,4,Pure,4158
244,3CZRU5H37HM704514,4850,2017,HONDA,HR-V LX,HR-V LX,4DR SPOR,GREEN,Front,8891,20140,0,1.8,F,4,Minimum,3638
245,19XFC2F77HE039026,4900,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,SILVER,Rear,25172,17596,0,2.0,F,4,Pure,4028
246,19XFC2F54HE049205,2750,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,WHITE,Front,36075,15352,10571,2.0,F,4,Minimum,4054
247,3CZRU5H39HM720617,3950,2017,HONDA,HR-V LX,HR-V LX,4DR SPOR,BLUE,Side,30754,16790,11565,1.8,F,4,Pure,2936
248,19XFC2F76HE022752,3700,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,GRAY,Rear,19069,18925,11458,2.0,F,4,Minimum,3560
249,19XFC2F72HE064870,3750,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,SILVER,Side,14780,19858,19858,2.0,F,4,Minimum,3429
250,19XFC2F71HE011187,6100,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,CHARCOAL,Rear,34237,15649,11437,2.0,F,4,Minimum,3456
251,1HGCR2F32HA047084,3900,2017,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,BLUE,Front,88643,14047,8307,2.4,F,4,Pure,4677
252,2HGFC2F50HH544992,4200,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,GRAY,Front,58326,14025,10222,2.0,F,4,Minimum,3533
253,19XFC1F38HE214746,6700,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,WHITE,Front,31228,18374,14689,1.5,F,4,Minimum,3690
254,1HGCR2F10HA157713,4600,2017,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,RED,Side,33779,18673,15178,2.4,F,4,Approval,4989
255,1HGCR2F52HA102019,3450,2017,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,MAROON,Front,51678,17838,0,2.4,F,4,Minimum,3898
256,2HGFC2F73HH552134,3700,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,SILVER,Front,28096,18640,17732,2.0,F,4,Minimum,3300
257,1HGCR3F81HA011288,5600,2017,HONDA,ACCORD EXL,ACCORD EXL,SEDAN 4D,BLACK,Front,27313,21921,17375,3.5,F,6,Minimum,3429
258,19XFC2F53HE074919,4400,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,WHITE,Front,22967,15954,16626,2.0,F,4,Pure,5781
259,1HGCR3F96HA018214,6800,2017,HONDA,ACCORD,ACCORD TOU,SEDAN 4D,BLACK,Front,34510,23015,18000,3.5,F,6,Pure,3794
260,1HGCR2F33HA229327,5400,2017,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,CHARCOAL,Under,23441,16431,11072,2.4,F,4,Minimum,6079
261,1HGCR2F59HA043342,4800,2017,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,WHITE,Front,32734,20245,15147,2.4,F,4,Pure,4313
262,2HGFC2F50HH041737,4050,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,WHITE,Front,40437,17560,10726,2.0,F,4,Pure,4002
263,2HGFC2F58HH550961,5300,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BLUE,Side,10039,15287,9446,2.0,F,4,Approval,3612
264,1HGCR2F5XHA293673,8600,2017,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,WHITE,Front,47030,19765,0,2.4,F,4,Minimum,4262
265,2HGFC3B39HH352206,4600,2017,HONDA,CIVIC,CIVIC EX,COUPE,GRAY,Rear,24055,21955,0,1.5,F,4,Approval,5977
266,58ABK1GG3GU003610,13100,2016,LEXUS,ES350,ES 350,SEDAN 4D,BLUE,Front,4797,25032,0,3.5,F,6,Minimum,3898
267,JTJYARBZ1G2024660,16200,2016,LEXUS,NX 200T,NX 200T,4DR SPOR,WHITE,Front,61910,23386,21710,2.0,F,4,Pure,8316
268,JTHCM1D27G5002603,8500,2016,LEXUS,IS,IS 300,SEDAN 4D,WHITE,Front,21700,25149,19104,3.5,All,6,Minimum,9928
269,JTHBA1D26G5029585,8300,2016,LEXUS,IS,IS 200T,SEDAN 4D,GRAY,Front,25347,23699,17535,2.0,R,4,Minimum,6502
270,JTHBK1GG4G2234893,13800,2016,LEXUS,ES350,ES 350,SEDAN 4D,BLUE,Front,15579,24860,23840,3.5,F,6,Pure,5821
271,JTJBARBZXG2063754,9200,2016,LEXUS,NX 200T,NX 200T,4DR SPOR,GRAY,Front,48002,28489,0,2.0,All,4,Minimum,8680
272,JTJBM7FX5G5126570,17500,2016,LEXUS,GX,GX,4DR SPOR,WHITE,Front,41660,37606,24748,4.6,All,8,Pure,6289
273,2T2BZMCA0GC007164,18300,2016,LEXUS,RX 350,RX 350,4DR SPOR,WHITE,ALL OVER,49917,40169,0,3.5,All,6,Pure,10604
274,2T2BZMCA5GC046946,17400,2016,LEXUS,RX 350,RX 350,4DR SPOR,SILVER,Front,26906,36187,18476,3.5,All,6,Approval,11020
275,JTHBA1BL1GA001938,18000,2016,LEXUS,GS200,GS 200T,SEDAN 4D,WHITE,Side,49208,22787,18978,2.0,R,4,Minimum,10552
276,JTHBA1BLXGA001176,14500,2016,LEXUS,GS200,GS 200T,SEDAN 4D,GRAY,Front,16143,42980,14590,2.0,R,4,Minimum,10863
277,JTJYARBZ5H2074303,11300,2017,LEXUS,NX 200T,NX 200T,4DR SPOR,SILVER,Side,11577,34188,25000,2.0,F,4,Minimum,9044
278,JTJYARBZ2H2075280,11900,2017,LEXUS,NX 200T,NX 200T,4DR SPOR,WHITE,Front,4185,32409,0,2.0,F,4,Minimum,7381
279,JTJBM7FX3H5176501,23000,2017,LEXUS,GX,GX,4DR SPOR,SILVER,ROLLOVER,28373,40793,28497,4.6,All,8,Minimum,7692
280,JTJBM7FX5H5172370,33000,2017,LEXUS,GX,GX,4DR SPOR,WHITE,Rear,28900,58365,0,4.6,All,8,Approval,13463
281,JTJBARBZ9H2148196,8200,2017,LEXUS,NX 200T,NX 200T,4DR SPOR,WHITE,Front,18592,31833,32005,2.0,All,4,Pure,18661
282,58ABK1GGXHU038937,10100,2017,LEXUS,ES350,ES 350,SEDAN 4D,BLACK,Front,14874,34183,0,3.5,F,6,Minimum,5769
283,JTJHY7AX1H4237095,33250,2017,LEXUS,LX 570,LX 570,4DR SPOR,WHITE,Side,18034,88153,23156,5.7,All,8,Minimum,6900
284,JTHBA1D25H5059971,10400,2017,LEXUS,IS,IS 200T,SEDAN 4D,WHITE,Rear,43663,23904,15941,2.0,R,4,Minimum,18791
285,JTJHY7AXXH4241145,43250,2017,LEXUS,LX 570,LX 570,4DR SPOR,WHITE,Front,21500,72663,61608,5.7,All,8,Minimum,6913
286,JTJBARBZ6H2143277,12200,2017,LEXUS,NX 200T,NX 200T,4DR SPOR,CHARCOAL,Front,20061,38975,0,2.0,All,4,Approval,23989
287,JTJBARBZ3H2148338,10300,2017,LEXUS,NX 200T,NX 200T,4DR SPOR,WHITE,ALL OVER,20794,43587,0,2.0,All,4,Approval,7848
288,3MZBM1T7XGM327263,3700,2016,MAZDA,3,3 SPORT,SEDAN 4D,BLUE,Rear,25008,14318,0,2.0,F,4,Minimum,6861
289,JM1GJ1W58G1439388,8000,2016,MAZDA,6,6 GRAND TO,SEDAN 4D,SILVER,Front,39870,18699,10738,2.5,F,4,Minimum,3429
290,JM1GJ1U58G1419127,1750,2016,MAZDA,6,6 SPORT,SEDAN 4D,SILVER,Side,36866,12952,11412,2.5,F,4,Pure,5665
291,JM1GJ1W51G1472779,7600,2016,MAZDA,6,6 GRAND TO,SEDAN 4D,BLUE,Front,32154,19513,14627,2.5,F,4,Minimum,2596
292,JM1BM1U7XG1304953,6000,2016,MAZDA,3,3 SPORT,SEDAN 4D,GRAY,Mechanical,64877,10098,2671,2.0,F,4,Minimum,5457
293,3MZBM1U70GM313550,2550,2016,MAZDA,3,3 SPORT,SEDAN 4D,BLACK,Front,20581,14286,0,2.0,F,4,Pure,4625
294,JM3KE2CY1G0796234,7100,2016,MAZDA,CX-5 TOURI,CX-5 TOURI,4DR SPOR,WHITE,Side,30324,19325,7274,2.5,F,4,Minimum,2832
295,JM1GJ1W57G1483091,1450,2016,MAZDA,6,6 GRAND TO,SEDAN 4D,BLACK,Rear,39772,19360,0,2.5,F,4,Pure,5197
296,JM1GJ1U59G1466618,1150,2016,MAZDA,6,6 SPORT,SEDAN 4D,RED,Front,20328,14126,13067,2.5,F,4,Pure,2522
297,JM1BM1T72G1336376,2750,2016,MAZDA,3,3 SPORT,SEDAN 4D,BLUE,Front,45085,10843,10089,2.0,F,4,Minimum,2447
298,JM1GJ1U52G1424890,3150,2016,MAZDA,6,6 SPORT,SEDAN 4D,CHARCOAL,Rear,78051,12016,12127,2.5,F,4,Pure,2936
299,JM1GJ1V57G1484534,4850,2016,MAZDA,6,6 TOURING,SEDAN 4D,BLUE,Front,23667,17186,15894,2.5,F,4,Minimum,3144
300,JM1GJ1V5XG1421833,4650,2016,MAZDA,6,6 TOURING,SEDAN 4D,CHARCOAL,Front,80915,12691,5741,2.5,F,4,Minimum,4028
301,JM3KE4DY9G0749396,9000,2016,MAZDA,CX-5 GT,CX-5 GT,4DR SPOR,BLUE,Side,41547,20745,15764,2.5,All,4,Minimum,3924
302,3MZBM1U74GM249528,2150,2016,MAZDA,3,3 SPORT,SEDAN 4D,GRAY,Front,65528,10677,8161,2.0,F,4,Minimum,6185
303,JM3KE4CY7G0919501,3550,2016,MAZDA,CX-5 TOURI,CX-5 TOURI,4DR SPOR,BLUE,ALL OVER,20618,20726,15940,2.5,All,4,Pure,2624
304,JM1GJ1W5XG1486468,8500,2016,MAZDA,6,6 GRAND TO,SEDAN 4D,WHITE,Front,22167,19626,14428,2.5,F,4,Minimum,3352
305,3MZBM1U70GM307747,2000,2016,MAZDA,3,3 SPORT,SEDAN 4D,SILVER,Front,66995,11681,11563,2.0,F,4,Minimum,5925
306,JM3KE4DY4G0849762,5500,2016,MAZDA,CX-5 GT,CX-5 GT,4DR SPOR,BLUE,Front,21248,21857,15983,2.5,All,4,Minimum,2546
307,JM3KE4CY8G0908264,3450,2016,MAZDA,CX-5 TOURI,CX-5 TOURI,4DR SPOR,BLUE,Front,19203,18559,15221,2.5,All,4,Pure,4366
308,JM1BM1T70G1311878,1550,2016,MAZDA,3,3 SPORT,SEDAN 4D,BLUE,Front,75831,8263,11802,2.0,F,4,Pure,3300
309,3MZBM1U74GM305791,3100,2016,MAZDA,3,3 SPORT,SEDAN 4D,GRAY,Rear,98561,11507,8437,2.0,F,4,Pure,2312
310,JM1GJ1V51G1446443,6300,2016,MAZDA,6,6 TOURING,SEDAN 4D,BLACK,Front,49832,14940,12035,2.5,F,4,Pure,3118
311,WDDUG8CB6GA243217,33250,2016,MERCEDES-BENZ,S CLASS,S 550,SEDAN 4D,BLUE,Front,100520,46957,31097,4.6,R,8,Minimum,4781
312,WDDUX7GB6GA225000,47500,2016,MERCEDES-BENZ,S MERCEDES,S MERCEDES,SEDAN 4D,BLACK,Front,4238,157000,0,6.0,R,12,Minimum,18791
313,WDDLJ6FB9GA162743,16100,2016,MERCEDES-BENZ,C CLASS,CLS 400,SEDAN 4D,GRAY,Side,49371,44301,0,3.0,R,6,Approval,26198
314,55SWF4JB6GU130732,15800,2016,MERCEDES-BENZ,C CLASS,C 300,SEDAN 4D,SILVER,Front,32635,37265,0,2.0,R,4,Minimum,9876
315,WDDSJ4EB8GN378285,10700,2016,MERCEDES-BENZ,C CLASS,CLA 250,SEDAN 4D,BLACK,Side,19310,29652,0,2.0,F,4,Minimum,9720
316,WDC0G4KB9GF010786,16600,2016,MERCEDES-BENZ,GLC 300 4M,GLC 300 4M,4DR SPOR,BLACK,Front,36598,30274,28924,2.0,All,4,Pure,7069
317,WDC0G4KB6GF080844,13000,2016,MERCEDES-BENZ,GLC 300 4M,GLC 300 4M,4DR SPOR,GRAY,Front,18591,33129,22768,2.0,All,4,Minimum,10136
318,4JGDA5HB5GA809964,18000,2016,MERCEDES-BENZ,GLE 350 4M,GLE 350 4M,4DR SPOR,BLACK,Front,50935,33098,0,3.5,All,6,Minimum,8264
319,WDC0G4JB5GF109266,13500,2016,MERCEDES-BENZ,GLC 300,GLC 300,4DR SPOR,SILVER,Front,27507,28740,26460,2.0,R,4,Pure,10863
320,55SWF4JB7GU170530,16400,2016,MERCEDES-BENZ,C CLASS,C 300,SEDAN 4D,WHITE,Rear,18946,32411,21053,2.0,R,4,Minimum,8524
321,4JGDA5JB9GA668455,13200,2016,MERCEDES-BENZ,GLE 350,GLE 350,4DR SPOR,BLACK,Front,27255,36771,33710,3.5,R,6,Pure,10032
322,55SWF4JB3GU151599,11800,2016,MERCEDES-BENZ,C CLASS,C 300,SEDAN 4D,BLACK,Rear,48881,26924,0,2.0,R,4,Pure,8368
323,WDDUG8CB4GA217280,23200,2016,MERCEDES-BENZ,S CLASS,S 550,SEDAN 4D,SILVER,Side,25303,69300,0,4.6,R,8,Minimum,7640
324,WDDWF4KB5GR178206,12600,2016,MERCEDES-BENZ,C CLASS,C 300 4MAT,SEDAN 4D,SILVER,Front,9265,40395,0,2.0,All,4,Approval,13567
325,WDDUG8CB4GA245015,30750,2016,MERCEDES-BENZ,S CLASS,S 550,SEDAN 4D,SILVER,ALL OVER,26570,65150,0,4.6,R,8,Minimum,8056
326,4JGDA5HB0HA931889,22200,2017,MERCEDES-BENZ,GLE 350 4M,GLE 350 4M,4DR SPOR,GRAY,Rear,10926,42693,31719,3.5,All,6,Minimum,17491
327,4JGDA5HB6HA845132,23900,2017,MERCEDES-BENZ,GLE 350 4M,GLE 350 4M,4DR SPOR,WHITE,Side,53798,37962,27191,3.5,All,6,Pure,13047
328,WDDUG8CB1HA316835,22400,2017,MERCEDES-BENZ,S CLASS,S 550,SEDAN 4D,WHITE,Front,19882,75979,0,4.6,R,8,Pure,13930
329,4JGED6EB6HA059840,25250,2017,MERCEDES-BENZ,GLE COUPE,GLE COUPE,4DR SPOR,WHITE,Side,16859,72997,15447,3.0,All,6,Minimum,13151
330,WDDWJ4KB6HF385687,18500,2017,MERCEDES-BENZ,C CLASS,C 300 4MAT,COUPE,GRAY,Wear,19162,47185,0,2.0,All,4,Minimum,11124
331,WDC0G4JB2HF203753,13800,2017,MERCEDES-BENZ,GLC 300,GLC 300,4DR SPOR,BLACK,Front,28721,59644,13266,2.0,R,4,Minimum,11124
332,4JGDA5JB5HA852597,20800,2017,MERCEDES-BENZ,GLE 350,GLE 350,4DR SPOR,WHITE,Front,75315,48360,0,3.5,R,6,Minimum,8680
333,WDDZF4JB7HA276636,19000,2017,MERCEDES-BENZ,E CLASS,E 300,SEDAN 4D,SILVER,Front,19232,42719,0,2.0,R,4,Approval,12319
334,WDDUG8CB4HA310656,32250,2017,MERCEDES-BENZ,S CLASS,S 550,SEDAN 4D,BLACK,Front,8114,74205,0,4.6,R,8,Approval,11383
335,WDDZF4KB6HA204339,21500,2017,MERCEDES-BENZ,E CLASS,E 300 4MAT,SEDAN 4D,GRAY,Front,16745,51657,3658,2.0,All,4,Minimum,18271
336,4JGED6EB3HA082878,0,2017,MERCEDES-BENZ,GLE COUPE,GLE COUPE,4DR SPOR,WHITE,Front,25773,66995,0,3.0,All,6,Minimum,12683
337,4JGDA5HB2HA945969,11700,2017,MERCEDES-BENZ,GLE 350 4M,GLE 350 4M,4DR SPOR,WHITE,ROLLOVER,25112,41549,31162,3.5,All,6,Pure,12683
338,WDCTG4EB4HJ315619,8250,2017,MERCEDES-BENZ,GLA 250,GLA 250,4DR SPOR,WHITE,Front,35037,25409,0,2.0,F,4,Pure,7588
339,4JGDA5JBXHA964098,23500,2017,MERCEDES-BENZ,GLE 350,GLE 350,4DR SPOR,BLACK,Front,25182,39446,26474,3.5,R,6,Minimum,5795
340,WDDKJ6FB7HF362343,9900,2017,MERCEDES-BENZ,E CLASS,E 400,COUPE,BLUE,Front,6206,39976,23556,3.0,R,6,Approval,13722
341,WDDSJ4GB1HN414798,9200,2017,MERCEDES-BENZ,C CLASS,CLA 250 4M,SEDAN 4D,GRAY,Rear,58032,34274,29761,2.0,All,4,Pure,6653
342,4JGDF6EE7HA973868,20800,2017,MERCEDES-BENZ,GLS 450 4M,GLS 450 4M,4DR SPOR,BLACK,Front,32878,55773,0,3.0,All,6,Approval,6289
343,4JGDF6EE5HA961332,23800,2017,MERCEDES-BENZ,GLS 450 4M,GLS 450 4M,4DR SPOR,GRAY,Front,23178,51922,0,3.0,All,6,Approval,12319
344,4JGDF7DE4HA739906,34000,2017,MERCEDES-BENZ,GLS 550 4M,GLS 550 4M,4DR SPOR,BLACK,Front,47361,73650,0,4.7,All,8,Minimum,13878
345,4JGDA5HB9HA887634,23000,2017,MERCEDES-BENZ,GLE 350 4M,GLE 350 4M,4DR SPOR,WHITE,Front,24789,53260,0,3.5,All,6,Minimum,19181
346,4JGDA5JB0HA955216,22600,2017,MERCEDES-BENZ,GLE 350,GLE 350,4DR SPOR,BLUE,Front,20469,49888,0,3.5,R,6,Minimum,13463
347,WDDZF4JBXHA175011,24700,2017,MERCEDES-BENZ,E CLASS,E 300,SEDAN 4D,WHITE,ALL OVER,29715,48360,0,2.0,R,4,Minimum,13255
348,WDDUG8CB9HA298858,38000,2017,MERCEDES-BENZ,S CLASS,S 550,SEDAN 4D,BLUE,Side,26670,72980,0,4.6,R,8,Minimum,14346
349,1N4AL3AP7GC153028,5300,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,GRAY,Front,55405,14621,10352,2.5,F,4,Minimum,21260
350,1N4AL3AP8GN308853,2900,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,GRAY,Front,96905,9322,7247,2.5,F,4,Minimum,4262
351,1N4AA6AP1GC448763,4750,2016,NISSAN,MAXIMA,MAXIMA 3.5,SEDAN 4D,BLACK,Front,93024,15521,12191,3.5,F,6,Minimum,3014
352,3N1AB7AP1GY227347,2600,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,SILVER,Rear,32851,11425,0,1.8,F,4,Minimum,5570
353,3N1AB7APXGL641031,2700,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,BLUE,Rear,48830,12098,0,1.8,F,4,Pure,2858
354,3N1AB7AP6GY335964,2850,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,BLUE,Front,41695,12213,10442,1.8,F,4,Pure,2910
355,3N1AB7AP2GY289162,3400,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,SILVER,Mechanical,73551,9289,3000,1.8,F,4,Approval,2988
356,1N4AL3AP7GC151750,4600,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,RED,Front,32390,14529,6217,2.5,F,4,Minimum,3274
357,3N1AB7AP2GL663993,2950,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,WHITE,Front,45337,11463,13659,1.8,F,4,Minimum,3898
358,3N1AB7AP1GL664729,2850,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,SILVER,Rear,52854,10235,9370,1.8,F,4,Pure,3040
359,1N4AL3AP7GC137895,4850,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,BLACK,Rear,32778,18222,14257,2.5,F,4,Minimum,2988
360,1N4AL3AP4GN321616,2550,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,BLACK,Front,94968,11456,0,2.5,F,4,Pure,4028
361,1N4AA6AP0GC906079,7600,2016,NISSAN,MAXIMA,MAXIMA 3.5,SEDAN 4D,BROWN,Rear,43039,24108,16816,3.5,F,6,Minimum,2832
362,1N4AA6AP2GC442390,5400,2016,NISSAN,MAXIMA,MAXIMA 3.5,SEDAN 4D,WHITE,Side,86935,14183,10697,3.5,F,6,Pure,6278
363,3N1AB7AP6GY282179,2250,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,BLACK,Front,67058,8681,6387,1.8,F,4,Minimum,5731
364,1N4AL3AP8GC282668,3250,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,WHITE,Rear,70428,12715,15463,2.5,F,4,Minimum,2676
365,3N1CN7AP2GL895087,2050,2016,NISSAN,VERSA,VERSA S,SEDAN 4D,SILVER,Side,48283,9190,9190,1.6,F,4,Approval,3196
366,1N4AL3AP0GN318194,3650,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,GRAY,Front,47803,12576,9465,2.5,F,4,Minimum,2572
367,1N4AL3AP1GN344707,5100,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,WHITE,Rear,16728,16071,13503,2.5,F,4,Pure,3404
368,1N4AL3AP6GC227216,3750,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,WHITE,Front,93346,10159,13433,2.5,F,4,Minimum,4158
369,JN8AF5MR2GT601044,2900,2016,NISSAN,JUKE S,JUKE S,4DR SPOR,RED,Rear,42412,14701,12757,1.6,F,4,Pure,3456
370,1N4AL3AP3GN340464,2550,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,BLACK,Front,109575,9177,8044,2.5,F,4,Pure,3014
371,1N4AL3APXGC247243,3150,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,RED,Rear,56256,13115,9312,2.5,F,4,Minimum,2832
372,1N4AL3AP4GN307229,4250,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,MAROON,Rear,58357,11542,0,2.5,F,4,Pure,3144
373,5N1AZ2MGXGN157282,5400,2016,NISSAN,MURANO S,MURANO S,4DR SPOR,SILVER,Side,35826,19401,0,3.5,F,6,Pure,3716
374,3N1AB7AP4GY303367,2050,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,GRAY,Front,85027,8378,0,1.8,F,4,Pure,5731
375,3N1CN7AP5GL802241,1850,2016,NISSAN,VERSA,VERSA S,SEDAN 4D,RED,Front,66963,8078,6000,1.6,F,4,Minimum,2572
376,1N4AA6AP5GC384369,2650,2016,NISSAN,MAXIMA,MAXIMA 3.5,SEDAN 4D,BLUE,Side,44864,19860,15960,3.5,F,6,Pure,2468
377,3N1AB7AP0GY315158,2500,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,BLACK,Front,63757,11632,8793,1.8,F,4,Pure,5048
378,1N4AA6AP2GC393515,4700,2016,NISSAN,MAXIMA,MAXIMA 3.5,SEDAN 4D,WHITE,Rear,91277,18046,18046,3.5,F,6,Minimum,2806
379,1N4AL3AP3GN339587,3600,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,GRAY,Rear,56026,13119,8835,2.5,F,4,Minimum,5557
380,1N4AL3AP9GC161812,3400,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,CHARCOAL,Front,8489,17424,11721,2.5,F,4,Minimum,3378
381,KNMAT2MV5GP690889,6000,2016,NISSAN,ROGUE S,ROGUE S,4DR SPOR,WHITE,Side,23569,20807,14765,2.5,All,4,Pure,3274
382,5N1AZ2MH6GN144392,13200,2016,NISSAN,MURANO S,MURANO S,4DR SPOR,ORANGE,Minor,18604,34887,0,3.5,All,6,Approval,4625
383,1N4AL3AP5GC160544,2600,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,BLACK,Front,41770,15310,11624,2.5,F,4,Pure,8368
384,3N1AB7AP1GL675259,1600,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,GRAY,Front,15153,12509,16714,1.8,F,4,Pure,2858
385,1N4AL3AP7GN306866,3700,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,WHITE,Front,58130,11441,10182,2.5,F,4,Minimum,2338
386,1N4AL3AP5GN380979,3100,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,BLACK,Side,43755,13440,10479,2.5,F,4,Pure,3429
387,3N1AB7AP3GY241928,925,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,BLACK,Front,21131,12456,13872,1.8,F,4,Minimum,3118
388,1N4AL3AP7GN337020,2550,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,BLACK,Front,66015,10685,12496,2.5,F,4,Minimum,1987
389,5N1AT2MV5GC780353,3350,2016,NISSAN,ROGUE S,ROGUE S,4DR SPOR,BLACK,Front,19698,21387,20285,2.5,All,4,Minimum,2832
390,1N4AL3AP6GN354200,3650,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,GRAY,Rear,59448,11899,10631,2.5,F,4,Minimum,3248
391,1N4AL3AP2GC275523,2950,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,GRAY,Front,30265,13873,11387,2.5,F,4,Minimum,3404
392,1N4AA6AP2GC405369,3000,2016,NISSAN,MAXIMA,MAXIMA 3.5,SEDAN 4D,BLACK,Front,47478,22540,21351,3.5,F,6,Minimum,3040
393,3N1CN7AP6GL884884,1500,2016,NISSAN,VERSA,VERSA S,SEDAN 4D,BLUE,Rear,26167,10375,7182,1.6,F,4,Minimum,5135
394,1N4AL3AP0GN341684,2950,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,SILVER,Front,79221,10861,12932,2.5,F,4,Pure,2286
395,3N1CN7APXGL821741,850,2016,NISSAN,VERSA,VERSA S,SEDAN 4D,GRAY,Front,54932,9210,9688,1.6,F,4,Pure,3040
396,5N1AR2MM9GC605089,8700,2016,NISSAN,PATHFINDER,PATHFINDER,4DR SPOR,GRAY,Rear,41106,26929,0,3.5,4x4,6,Pure,1948
397,1N4AL3AP6GC191835,3250,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,WHITE,Side,79132,9976,0,2.5,F,4,Pure,6552
