Unnamed: 0,VIN,Price,Year,Make,Model.Group,Model.Detail,Body.Style,Color,Damage.Description,Odometer,Est..Retail.Value,Repair.cost,Engine,Drive,Cylinders,Sale.Status,ImportPrice
112,19XFC2F53GE018557,3350,2016,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,SILVER,Vandalism,55278,13849,10784,2.0,F,4,Pure,3690
113,2HGFC1F76GH647862,4950,2016,HONDA,CIVIC EXL,CIVIC EXL,SEDAN 4D,RED,Front,31975,17603,11846,1.5,F,4,Pure,3248
114,1HGCR2F88GA170933,7800,2016,HONDA,ACCORD EXL,ACCORD EXL,SEDAN 4D,BLACK,Side,72953,14428,7243,2.4,F,4,Minimum,4079
115,5FNRL5H6XGB141240,8700,2016,HONDA,ODYSSEY EX,ODYSSEY EX,SPORTS V,BLUE,Front,39274,25000,0,3.5,F,6,Pure,5561
116,1HGCR2F75GA029552,4650,2016,HONDA,ACCORD EX,ACCORD EX,SEDAN 4D,BLACK,Front,80647,14205,12640,2.4,F,4,Pure,6552
117,1HGCR2F31GA134473,5800,2016,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,GRAY,Rear,43081,16308,11327,2.4,F,4,Pure,3924
118,2HGFC2F58GH546021,3800,2016,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,GRAY,Front,85119,13150,0,2.0,F,4,Pure,4521
119,19XFC1F34GE014848,5300,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLACK,Front,31347,16257,13572,1.5,F,4,Minimum,3482
120,19XFC2F53GE024634,4100,2016,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BLUE,Side,32855,14575,9959,2.0,F,4,Minimum,4262
121,19XFC2F78GE084006,3750,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLUE,Front,32555,16343,12167,2.0,F,4,Minimum,3638
122,1HGCR2F37GA121940,4050,2016,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,BEIGE,Front,42111,16357,0,2.4,F,4,Minimum,3456
123,2HGFC2F70GH506341,3050,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLACK,Rear,40110,14049,8994,2.0,F,4,Pure,3612
124,1HGCR2F57GA188930,9200,2016,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,BLACK,Side,21793,18016,9319,2.4,F,4,Pure,3092
125,2HKRM4H55GH706204,0,2016,HONDA,CR-V EX,CR-V EX,4DR SPOR,CHARCOAL,Front,43580,20175,10518,2.4,All,4,Pure,6289
126,3CZRU5H36GM700033,5100,2016,HONDA,HR-V LX,HR-V LX,4DR SPOR,GRAY,Rear,68739,13845,8000,1.8,F,4,Pure,6289
127,19XFC2F71GE003914,2800,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,CHARCOAL,Front,60703,14797,11000,2.0,F,4,Pure,4158
128,2HKRM3H3XGH556387,6100,2016,HONDA,CR-V LX,CR-V LX,4DR SPOR,CHARCOAL,Side,26628,18571,0,2.4,F,4,Pure,2962
129,5FNRL5H92GB134177,8900,2016,HONDA,ODYSSEY TO,ODYSSEY TO,SPORTS V,BLACK,Rear,72773,24417,0,3.5,F,6,Pure,4677
130,19XFC2F59GE099547,2950,2016,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,WHITE,Rear,29871,13841,9803,2.0,F,4,Minimum,6602
131,2HKRM3H56GH526224,7400,2016,HONDA,CR-V EX,CR-V EX,4DR SPOR,BLUE,Rear,16816,19048,16037,2.4,F,4,Pure,3040
132,1HGCR2F51GA193220,6500,2016,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,RED,Front,21894,17316,13416,2.4,F,4,Pure,5353
133,2HGFC1F37GH630162,2400,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,GRAY,Front,68390,15242,10178,1.5,F,4,Minimum,4885
134,5J6RM3H96GL006968,8600,2016,HONDA,CR-V TOURI,CR-V TOURI,4DR SPOR,WHITE,Side,72343,20203,16049,2.4,F,4,Pure,2754
135,5FNYF5H59GB020712,6600,2016,HONDA,PILOT EXL,PILOT EXL,4DR SPOR,WHITE,Side,84482,23927,16384,3.5,F,6,Pure,5977
136,3CZRU5H39GM703993,6400,2016,HONDA,HR-V LX,HR-V LX,4DR SPOR,BLACK,Rear,54303,15442,0,1.8,F,4,Pure,6030
137,5J6RM4H94GL101695,5300,2016,HONDA,CR-V TOURI,CR-V TOURI,4DR SPOR,BURGUNDY,Front,49258,22612,19008,2.4,All,4,Pure,4833
138,19XFC2F51GE055347,2400,2016,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BLACK,ALL OVER,110165,9355,8454,2.0,F,4,Pure,4262
139,5FNRL5H98GB126584,9200,2016,HONDA,ODYSSEY TO,ODYSSEY TO,SPORTS V,GRAY,Front,28557,27956,17107,3.5,F,6,Pure,2754
140,2HKRM4H57GH600112,7000,2016,HONDA,CR-V EX,CR-V EX,4DR SPOR,BLACK,Rear,17792,21522,13892,2.4,All,4,Minimum,6676
141,19XFC2F57GE096680,6000,2016,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BLUE,Rear,25440,14624,9076,2.0,F,4,Pure,5145
142,3CZRU5H52GM741258,4800,2016,HONDA,HR-V EX,HR-V EX,4DR SPOR,WHITE,Front,35685,17695,11311,1.8,F,4,Pure,4625
143,1HGCR2F57GA117842,3550,2016,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,GRAY,Rear,60103,16050,14586,2.4,F,4,Approval,4002
144,2HKRM3H59GH518490,6800,2016,HONDA,CR-V EX,CR-V EX,4DR SPOR,BURGUNDY,Rear,45664,17758,12277,2.4,F,4,Pure,3352
145,2HGFC4B06GH314149,3750,2016,HONDA,CIVIC LX,CIVIC LX,COUPE,RED,Rear,29857,14562,0,2.0,F,4,Minimum,5041
146,5FNYF5H53GB027641,10200,2016,HONDA,PILOT EXL,PILOT EXL,4DR SPOR,GRAY,Front,30404,27188,27188,3.5,F,6,Pure,3456
147,5FNRL5H6XGB011667,4600,2016,HONDA,ODYSSEY EX,ODYSSEY EX,SPORTS V,CHARCOAL,Rear,33179,26656,9335,3.5,F,6,Pure,6925
148,19XFC2F78GE055427,3600,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,CHARCOAL,Front,20032,17384,14492,2.0,F,4,Pure,5532
149,2HKRM4H5XGH635257,6100,2016,HONDA,CR-V EX,CR-V EX,4DR SPOR,GRAY,Front,44417,19276,0,2.4,All,4,Minimum,3378
150,1HGCR2F78GA006136,5500,2016,HONDA,ACCORD EX,ACCORD EX,SEDAN 4D,GRAY,Front,71950,14254,0,2.4,F,4,Minimum,4677
151,2HGFC2F76GH500608,3300,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLACK,Rear,62076,11252,10405,2.0,F,4,Approval,4366
152,2HKRM3H70GH519190,8600,2016,HONDA,CR-V EXL,CR-V EXL,4DR SPOR,SILVER,Front,7000,23022,16665,2.4,F,4,Pure,3222
153,19XFC1F91GE222061,4900,2016,HONDA,CIVIC,CIVIC TOUR,SEDAN 4D,BLACK,Front,64992,15198,9839,1.5,F,4,Pure,5977
154,5J6RM4H58GL105133,7900,2016,HONDA,CR-V EX,CR-V EX,4DR SPOR,BLUE,Front,48841,19120,11703,2.4,All,4,Pure,4054
155,2HGFC2F53GH564135,2950,2016,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,GRAY,Front,22079,15077,11383,2.0,F,4,Pure,5613
156,1HGCR2F56GA037383,4600,2016,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,BLACK,Side,35158,18997,16049,2.4,F,4,Pure,3040
157,1HGCR2F37GA181412,6000,2016,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,BLUE,Rear,36426,16268,8894,2.4,F,4,Minimum,3898
158,19XFC1F36GE203744,4850,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLUE,Front,35326,17526,13679,1.5,F,4,Minimum,4625
159,1HGCR2F37GA145378,5700,2016,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,SILVER,Rear,39653,15127,7272,2.4,F,4,Pure,4028
160,3CZRU6H31GM747752,5600,2016,HONDA,HR-V LX,HR-V LX,4DR SPOR,BLACK,Front,39121,17188,13216,1.8,All,4,Pure,4469
161,5FNYF6H54GB041229,10100,2016,HONDA,PILOT EXL,PILOT EXL,4DR SPOR,GRAY,Front,21045,28779,15447,3.5,All,6,Minimum,4417
162,2HKRM4H51GH621487,7900,2016,HONDA,CR-V EX,CR-V EX,4DR SPOR,BLUE,Side,39407,20178,13779,2.4,All,4,Minimum,6900
163,2HKRM3H34GH511901,3850,2016,HONDA,CR-V LX,CR-V LX,4DR SPOR,BLACK,Front,75703,15602,14814,2.4,F,4,Pure,5613
164,1HGCR2F36GA045479,5600,2016,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,WHITE,Side,44133,17432,10719,2.4,F,4,Pure,3508
165,5FNRL5H99GB037929,5200,2016,HONDA,ODYSSEY TO,ODYSSEY TO,SPORTS V,GRAY,Side,114852,23007,0,3.5,F,6,Pure,4417
166,3CZRM3H37GG705938,6100,2016,HONDA,CR-V LX,CR-V LX,4DR SPOR,SILVER,Front,34762,16718,8228,2.4,F,4,Minimum,5682
167,2HGFC4B52GH312023,2900,2016,HONDA,CIVIC LX,CIVIC LX,COUPE,BLACK,Front,16196,16012,0,2.0,F,4,Pure,4677
168,5FNYF5H61GB008112,4450,2016,HONDA,PILOT EXL,PILOT EXL,4DR SPOR,BLACK,Side,99689,19705,15198,3.5,F,6,Pure,3014
169,19XFC2F70GE073355,5700,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLACK,Rear,55676,13750,8793,2.0,F,4,Pure,5495
170,2HGFC2F71GH506154,4100,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,GRAY,Front,49450,14649,0,2.0,F,4,Pure,4469
171,3CZRU6H52GM746918,3350,2016,HONDA,HR-V EX,HR-V EX,4DR SPOR,GRAY,Front,25155,19029,16168,1.8,All,4,Minimum,3638
172,19XFC2F59GE003979,3650,2016,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,GRAY,Rear,37822,15291,13356,2.0,F,4,Minimum,3248
173,5J6RM4H42GL081693,5500,2016,HONDA,CR-V SE,CR-V SE,4DR SPOR,WHITE,Front,31172,20222,13428,2.4,All,4,Minimum,3404
174,19XFC1F30GE038886,7600,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLUE,Front,39950,15532,0,1.5,F,4,Minimum,4366
175,2HGFC2F58GH544320,4000,2016,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,RED,Front,38065,12971,9717,2.0,F,4,Minimum,5457
176,19XFC1F39GE035324,4700,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLACK,Rear,25967,30955,0,1.5,F,4,Pure,3586
177,1HGCR2F58GA158190,2600,2016,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,RED,Front,70417,14557,16552,2.4,F,4,Pure,3950
178,2HGFC2F7XGH502801,4750,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,GRAY,Front,30357,16976,25366,2.0,F,4,Minimum,2858
179,19XFC2F50GE087898,2300,2016,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,SILVER,ALL OVER,26845,15038,10300,2.0,F,4,Minimum,3975
180,19XFC1F77GE202105,4950,2016,HONDA,CIVIC EXL,CIVIC EXL,SEDAN 4D,BLUE,Rear,64659,14428,12356,1.5,F,4,Minimum,2702
181,1HGCR2F59GA032436,4300,2016,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,WHITE,Front,43255,17888,15337,2.4,F,4,Minimum,4079
182,2HGFC1F31GH645384,4600,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,WHITE,Rear,19655,17473,0,1.5,F,4,Minimum,3742
183,3CZRU5G5XGM749335,4350,2016,HONDA,HR-V EX,HR-V EX,4DR SPOR,GREEN,Rear,19637,17492,12623,1.8,F,4,Minimum,3898
