"","VIN","Price","Year","Make","Model.Group","Model.Detail","Body.Style","Color","Damage.Description","Odometer","Est..Retail.Value","Repair.cost","Engine","Drive","Cylinders","Sale.Status"
"539","WA1LAAF72HD017871",24400,2017,"AUDI","Q7 PREMIUM","Q7 PREMIUM","4DR SPOR","GRAY","Front",47544,41450,33368,3,"All",6,"Minimum"
"540","JTJBM7FX3H5176501",23000,2017,"LEXUS","GX","GX","4DR SPOR","SILVER","ROLLOVER",28373,40793,28497,4.6,"All",8,"Minimum"
"541","19XFC1F73HE014943",5100,2017,"HONDA","CIVIC EXL","CIVIC EXL","SEDAN 4D","BLACK","Front",9184,22825,0,1.5,"F",4,"Minimum"
"542","JF1ZNAA13H8707683",6100,2017,"TOYOTA","86 BASE","86 BASE","COUPE","WHITE","Front",13459,23775,0,2,"R",4,"Minimum"
"543","JF1ZNAA16H8701263",5300,2017,"TOYOTA","86 BASE","86 BASE","COUPE","WHITE","Front",28293,20725,0,2,"R",4,"Minimum"
"544","JTJBM7FX5H5172370",33000,2017,"LEXUS","GX","GX","4DR SPOR","WHITE","Rear",28900,58365,0,4.6,"All",8,"Approval"
"545","19UUB2F32HA005930",9000,2017,"ACURA","TLX","TLX","SEDAN 4D","WHITE","Rear",21088,24725,0,3.5,"F",6,"Minimum"
"546","2HGFC2F78HH533966",4550,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","RED","Front",50647,14970,11809,2,"F",4,"Pure"
"547","1HGCR2F79HA212664",6900,2017,"HONDA","ACCORD EX","ACCORD EX","SEDAN 4D","GOLD","Rear",28549,18463,13714,2.4,"F",4,"Pure"
"548","1HGCR2F58HA231950",8500,2017,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","RED","Side",44266,17352,14097,2.4,"F",4,"Pure"
"549","1N4AA6AP0HC379789",4450,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BLACK","Rear",40326,21275,0,3.5,"F",6,"Minimum"
"550","4T1BF1FK3HU328079",5000,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",97283,21548,0,2.5,"F",4,"Minimum"
"551","3CZRU6H51HM716973",6600,2017,"HONDA","HR-V EX","HR-V EX","4DR SPOR","BLACK","Front",25278,19922,13930,1.8,"All",4,"Pure"
"552","JTMRFREV1HD201697",10300,2017,"TOYOTA","RAV4 XLE","RAV4 XLE","4DR SPOR","GRAY","Rear",33326,22084,0,2.5,"All",4,"Pure"
"553","4T1BF1FK1HU453985",6900,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",50779,13569,14245,2.5,"F",4,"Pure"
