VIN,Price,Year,Make,Model Group,Model Detail,Body Style,Color,Damage Description,Odometer,Est. Retail Value,Repair cost,Engine,Drive,Cylinders,Sale Status
2T1BURHE5GC716555,4550,2016,TOYOTA,COROLLA,COROLLA L,SEDAN 4D,BLUE,Rear,36364,12887,9280,1.8,F,4,Pure
4T1BF1FK2GU135291,3600,2016,TOYOTA,CAMRY,Camry LE,SEDAN 4D,BLACK,Rear,63612,14523,16883,2.5,F,4,Minimum
1N4AL3AP6GC166661,3350,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,BLUE,Rear,25594,15303,11158,2.5,F,4,Pure
5YFBURHE4GP442541,3600,2016,TOYOTA,COROLLA,COROLLA L,SEDAN 4D,GRAY,Front,73137,12650,0,1.8,F,4,Minimum
2HKRM3H70GH519190,8600,2016,HONDA,CR-V EXL,CR-V EXL,4DR SPOR,SILVER,Front,7000,23022,16665,2.4,F,4,Pure
4T1BF1FK9GU198565,5500,2016,TOYOTA,CAMRY,Camry LE,SEDAN 4D,SILVER,Front,23814,16469,19953,2.5,F,4,Pure
3N1AB7AP7GY262359,1800,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,BLUE,Front,51949,11345,10775,1.8,F,4,Pure
2T1BURHE8GC717585,2700,2016,TOYOTA,COROLLA,COROLLA L,SEDAN 4D,SILVER,Front,71161,11448,0,1.8,F,4,Approval
1N4AL3AP6GC143414,3350,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,GRAY,Front,72647,12751,0,2.5,F,4,Pure
3N1AB7AP2GY278646,1000,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,GRAY,Front,47148,12008,0,1.8,F,4,Minimum
3N1CN7AP4GL819631,2100,2016,NISSAN,VERSA,VERSA S,SEDAN 4D,RED,Front,56045,8519,5314,1.6,F,4,Minimum
KNMAT2MV1GP644122,7300,2016,NISSAN,ROGUE S,ROGUE S,4DR SPOR,GRAY,Front,24147,19341,19341,2.5,All,4,Pure
JN8AE2KP4G9152630,1900,2016,NISSAN,QUEST S,QUEST S,SPORTS V,SILVER,ROLLOVER,58810,13666,0,3.5,F,6,Minimum
19XFC1F91GE222061,4900,2016,HONDA,CIVIC,CIVIC TOUR,SEDAN 4D,BLACK,Front,64992,15198,9839,1.5,F,4,Pure
5J6RM4H58GL105133,7900,2016,HONDA,CR-V EX,CR-V EX,4DR SPOR,BLUE,Front,48841,19120,11703,2.4,All,4,Pure
3N1AB7AP0GL648912,2900,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,BLACK,Side,60909,10081,9926,1.8,F,4,Minimum
JM1BM1T72G1336376,2750,2016,MAZDA,3,3 SPORT,SEDAN 4D,BLUE,Front,45085,10843,10089,2.0,F,4,Minimum
4T1BF1FK1GU614172,4850,2016,TOYOTA,CAMRY,Camry LE,SEDAN 4D,TAN,Front,35770,14952,15986,2.5,F,4,Minimum
JM1GJ1U52G1424890,3150,2016,MAZDA,6,6 SPORT,SEDAN 4D,CHARCOAL,Rear,78051,12016,12127,2.5,F,4,Pure
JTJBM7FX5G5126570,17500,2016,LEXUS,GX,GX,4DR SPOR,WHITE,Front,41660,37606,24748,4.6,All,8,Pure
5YFBURHE2GP514031,4150,2016,TOYOTA,COROLLA,COROLLA L,SEDAN 4D,WHITE,Front,53675,13542,9521,1.8,F,4,Pure
2HGFC2F53GH564135,2950,2016,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,GRAY,Front,22079,15077,11383,2.0,F,4,Pure
4T1BK1EB3GU226065,9100,2016,TOYOTA,AVALON,AVALON XLE,SEDAN 4D,WHITE,Front,80266,18955,27688,3.5,F,6,Pure
1HGCR2F56GA037383,4600,2016,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,BLACK,Side,35158,18997,16049,2.4,F,4,Pure
3N1CN7AP2GL900790,1400,2016,NISSAN,VERSA,VERSA S,SEDAN 4D,SILVER,Side,48201,10327,0,1.6,F,4,Minimum
3N1AB7AP1GY270330,2100,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,GRAY,Front,43560,11211,11398,1.8,F,4,Minimum
WBA8E1G51GNT37184,8800,2016,BMW,3 SERIES,320 I,SEDAN 4D,WHITE,Rear,28441,19647,0,2.0,R,4,Minimum
1HGCR2F37GA181412,6000,2016,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,BLUE,Rear,36426,16268,8894,2.4,F,4,Minimum
JM1GJ1V57G1484534,4850,2016,MAZDA,6,6 TOURING,SEDAN 4D,BLUE,Front,23667,17186,15894,2.5,F,4,Minimum
4T1BF1FK1GU207484,6700,2016,TOYOTA,CAMRY,Camry LE,SEDAN 4D,SILVER,Rear,39745,14019,4435,2.5,F,4,Pure
19XFC1F36GE203744,4850,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLUE,Front,35326,17526,13679,1.5,F,4,Minimum
WBA5B1C58GG553796,9200,2016,BMW,535 I,535 I,SEDAN 4D,CHARCOAL,Side,10496,28000,0,3.0,R,6,Minimum
JM1GJ1V5XG1421833,4650,2016,MAZDA,6,6 TOURING,SEDAN 4D,CHARCOAL,Front,80915,12691,5741,2.5,F,4,Minimum
1VWAS7A36GC024955,3850,2016,VOLKSWAGEN,PASSAT,PASSAT S,SEDAN 4D,BLUE,Rear,30293,12737,11076,1.8,F,4,Approval
1N4AL3AP8GC214970,4900,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,BLACK,Side,41363,13966,6816,2.5,F,4,Minimum
1VWBT7A34GC020193,5800,2016,VOLKSWAGEN,PASSAT,PASSAT SE,SEDAN 4D,GRAY,Front,28074,15723,8368,1.8,F,4,Minimum
KNMAT2MV5GP692285,2000,2016,NISSAN,ROGUE S,ROGUE S,4DR SPOR,WHITE,Front,51039,15101,0,2.5,All,4,Minimum
1N4BL3APXGC160561,1400,2016,NISSAN,ALTIMA,ALTIMA 3.5,SEDAN 4D,BLACK,Rear,62209,15464,19073,3.5,F,6,Minimum
WAUA7GFF5G1075220,4150,2016,AUDI,A3,A3 PREMIUM,SEDAN 4D,BLACK,Front,45858,17117,12690,1.8,F,4,Pure
1N4AL3AP8GC218209,2800,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,GRAY,Rear,56751,11379,8325,2.5,F,4,Pure
3N1CN7AP2GL878306,1200,2016,NISSAN,VERSA,VERSA S,SEDAN 4D,BLACK,Side,13515,10787,11566,1.6,F,4,Pure
3N1CN7AP2GL845953,1850,2016,NISSAN,VERSA,VERSA S,SEDAN 4D,SILVER,Rear,10322,10797,5292,1.6,F,4,Pure
1HGCR2F37GA145378,5700,2016,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,SILVER,Rear,39653,15127,7272,2.4,F,4,Pure
2T3JFREV3GW447214,13200,2016,TOYOTA,RAV4 SE,RAV4 SE,4DR SPOR,WHITE,Rear,29773,23961,11274,2.5,All,4,Pure
3CZRU6H31GM747752,5600,2016,HONDA,HR-V LX,HR-V LX,4DR SPOR,BLACK,Front,39121,17188,13216,1.8,All,4,Pure
4T1BF1FK7GU157383,6300,2016,TOYOTA,CAMRY,Camry LE,SEDAN 4D,SILVER,Front,36452,14548,7293,2.5,F,4,Minimum
KNMAT2MV6GP682199,7000,2016,NISSAN,ROGUE S,ROGUE S,4DR SPOR,BLACK,Rear,33903,26083,12436,2.5,All,4,Minimum
1N4AA6AP3GC402352,3750,2016,NISSAN,MAXIMA,MAXIMA 3.5,SEDAN 4D,BLACK,Front,40033,19142,9983,3.5,F,6,Pure
2T1BURHE6GC487786,3050,2016,TOYOTA,COROLLA,COROLLA L,SEDAN 4D,SILVER,Front,39159,11597,16237,1.8,F,4,Minimum
5FNYF6H54GB041229,10100,2016,HONDA,PILOT EXL,PILOT EXL,4DR SPOR,GRAY,Front,21045,28779,15447,3.5,All,6,Minimum
1N4AL3AP7GC224972,2950,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,BLACK,Side,71369,10327,9650,2.5,F,4,Pure
3N1CN7AP1GL859276,1500,2016,NISSAN,VERSA,VERSA S,SEDAN 4D,BLUE,Front,45934,9326,1620,1.6,F,4,Pure
JTMDFREV8GJ074411,11900,2016,TOYOTA,RAV4 LIMIT,RAV4 LIMIT,4DR SPOR,RED,Rear,36162,26257,17839,2.5,All,4,Pure
KNMAT2MTXGP598644,4850,2016,NISSAN,ROGUE S,ROGUE S,4DR SPOR,GRAY,Front,45209,17480,11256,2.5,F,4,Pure
2T1BURHE1GC498520,5000,2016,TOYOTA,COROLLA,COROLLA L,SEDAN 4D,BLACK,Rear,81139,13887,8883,1.8,F,4,Minimum
WBA3N9C51GK249249,9900,2016,BMW,428 XI,428 XI,COUPE,BLUE,Rear,30766,25698,21193,2.0,All,4,Minimum
3N1AB7AP9GY283472,1950,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,WHITE,Front,70607,8455,11226,1.8,F,4,Minimum
3N1AB7AP3GY247860,1800,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,WHITE,Mechanical,89438,7267,3000,1.8,F,4,Minimum
JM3KE4DY9G0749396,9000,2016,MAZDA,CX-5 GT,CX-5 GT,4DR SPOR,BLUE,Side,41547,20745,15764,2.5,All,4,Minimum
4T1BF1FK1GU595879,5600,2016,TOYOTA,CAMRY,Camry LE,SEDAN 4D,RED,Front,51418,13114,11742,2.5,F,4,Pure
5TDJKRFH3GS248105,14100,2016,TOYOTA,HIGHLANDER,HIGHLANDER,4DR SPOR,BLUE,Front,60474,25091,0,3.5,All,6,Minimum
2HKRM4H51GH621487,7900,2016,HONDA,CR-V EX,CR-V EX,4DR SPOR,BLUE,Side,39407,20178,13779,2.4,All,4,Minimum
5N1AT2MVXGC888662,3900,2016,NISSAN,ROGUE S,ROGUE S,4DR SPOR,GRAY,Front,17450,17673,10306,2.5,All,4,Minimum
2T1BURHE0GC602723,4750,2016,TOYOTA,COROLLA,COROLLA L,SEDAN 4D,BROWN,Rear,46029,14461,12103,1.8,F,4,Pure
2T2BZMCA0GC007164,18300,2016,LEXUS,RX 350,RX 350,4DR SPOR,WHITE,ALL OVER,49917,40169,0,3.5,All,6,Pure
3N1CN7AP6GL814589,2650,2016,NISSAN,VERSA,VERSA S,SEDAN 4D,SILVER,Rear,87741,7957,5464,1.6,F,4,Pure
2T2BZMCA5GC046946,17400,2016,LEXUS,RX 350,RX 350,4DR SPOR,SILVER,Front,26906,36187,18476,3.5,All,6,Approval
5N1AR2MM1GC614093,6600,2016,NISSAN,PATHFINDER,PATHFINDER,4DR SPOR,SILVER,Front,28722,24712,18886,3.5,4x4,6,Minimum
1N4AL3AP5GC268064,3500,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,BLUE,Side,29683,11158,8421,2.5,F,4,Pure
1N4AA6AP4GC407141,4150,2016,NISSAN,MAXIMA,MAXIMA 3.5,SEDAN 4D,WHITE,Front,57731,19732,14391,3.5,F,6,Minimum
4T1BF1FK9GU509394,2500,2016,TOYOTA,CAMRY,Camry LE,SEDAN 4D,RED,Side,44500,16596,18127,2.5,F,4,Minimum
2HKRM3H34GH511901,3850,2016,HONDA,CR-V LX,CR-V LX,4DR SPOR,BLACK,Front,75703,15602,14814,2.4,F,4,Pure
3VW267AJ1GM386990,1350,2016,VOLKSWAGEN,JETTA,JETTA S,SEDAN 4D,GRAY,Front,62408,9789,10953,1.4,F,4,Minimum
5TDYK3DC4GS702655,9000,2016,TOYOTA,SIENNA XLE,SIENNA XLE,SPORTS V,SILVER,Rear,46384,25579,18048,3.5,F,6,Minimum
3VW267AJXGM208494,1950,2016,VOLKSWAGEN,JETTA,JETTA S,SEDAN 4D,WHITE,Front,31115,11173,10014,1.4,F,4,Pure
1HGCR2F36GA045479,5600,2016,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,WHITE,Side,44133,17432,10719,2.4,F,4,Pure
5YFBURHEXGP563123,3150,2016,TOYOTA,COROLLA,COROLLA L,SEDAN 4D,SILVER,Front,32706,13519,10173,1.8,F,4,Pure
5FNRL5H99GB037929,5200,2016,HONDA,ODYSSEY TO,ODYSSEY TO,SPORTS V,GRAY,Side,114852,23007,0,3.5,F,6,Pure
3CZRM3H37GG705938,6100,2016,HONDA,CR-V LX,CR-V LX,4DR SPOR,SILVER,Front,34762,16718,8228,2.4,F,4,Minimum
3N1AB7AP3GY339356,2100,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,CHARCOAL,Front,59329,10487,0,1.8,F,4,Approval
2HGFC4B52GH312023,2900,2016,HONDA,CIVIC LX,CIVIC LX,COUPE,BLACK,Front,16196,16012,0,2.0,F,4,Pure
5FNYF5H61GB008112,4450,2016,HONDA,PILOT EXL,PILOT EXL,4DR SPOR,BLACK,Side,99689,19705,15198,3.5,F,6,Pure
KNMAT2MT3GP668890,6100,2016,NISSAN,ROGUE S,ROGUE S,4DR SPOR,WHITE,Side,40063,16063,12217,2.5,F,4,Minimum
19XFC2F70GE073355,5700,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLACK,Rear,55676,13750,8793,2.0,F,4,Pure
1N4AL3AP9GC260727,1800,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,GRAY,Front,80764,9714,9714,2.5,F,4,Pure
2T1BURHE8GC725296,4000,2016,TOYOTA,COROLLA,COROLLA L,SEDAN 4D,RED,Front,36610,13999,10578,1.8,F,4,Minimum
2HGFC2F71GH506154,4100,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,GRAY,Front,49450,14649,0,2.0,F,4,Pure
WBA5B1C53GG133590,7000,2016,BMW,535 I,535 I,SEDAN 4D,WHITE,Front,59490,28118,20969,3.0,R,6,Pure
4T1BF1FK0GU194713,5800,2016,TOYOTA,CAMRY,Camry LE,SEDAN 4D,BLACK,Wear,63579,19500,0,2.5,F,4,Minimum
JN8AT2MT5GW026360,3250,2016,NISSAN,ROGUE S,ROGUE S,4DR SPOR,SILVER,Front,3732,16326,18346,2.5,F,4,Minimum
WVGAV7AX4GW583704,9200,2016,VOLKSWAGEN,TIGUAN S,TIGUAN S,4DR SPOR,BLACK,Under,16477,16036,6054,2.0,F,4,Minimum
