VIN,Price,Year,Make,Model Group,Model Detail,Body Style,Color,Damage Description,Odometer,Est. Retail Value,Repair cost,Engine,Drive,Cylinders,Sale Status
2V4RW3D19AR295249,1300,2010,VOLKSWAGEN,ROUTAN SE,ROUTAN SE,SPORTS V,WHITE,Front,80311,9671,0,3.8,F,6,Pure
1NXBU4EE3AZ342041,2550,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,RED,Side,112976,7570,0,1.8,F,4,Pure
JH4CU2F67AC030071,4350,2010,ACURA,TSX,TSX,SEDAN 4D,WHITE,Side,96183,9245,0,2.4,F,4,Pure
2HNYD2H63AH516906,4100,2010,ACURA,MDX,MDX TECHNO,4DR SPOR,SILVER,Rear,111533,15747,13272,3.7,All,6,Pure
2T1BU4EE2AC457487,900,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,GRAY,Front,232125,5840,0,1.8,F,4,Pure
3N1BC1AP7AL413896,1250,2010,NISSAN,VERSA,VERSA S,SEDAN 4D,GRAY,Front,80752,6046,0,1.8,F,4,Pure
WDDGF5EB4AR129737,3750,2010,MERCEDES-BENZ,C CLASS,C 300,SEDAN 4D,SILVER,Side,121394,8612,6352,3.0,R,6,Pure
JN8AS5MT6AW502384,2550,2010,NISSAN,ROGUE S,ROGUE S,4DR SPOR,GRAY,Side,69766,8249,4533,2.5,F,4,Pure
1NXBU4EE3AZ303305,2150,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,BLUE,Side,141307,5978,0,1.8,F,4,Pure
WDCGG8HB4AF434476,3150,2010,MERCEDES-BENZ,GLK 350 4M,GLK 350 4M,4DR SPOR,WHITE,Front,194941,9009,0,3.5,All,6,Pure
JTMWK4DV1A5027195,2200,2010,TOYOTA,RAV4 SPORT,RAV4 SPORT,4DR SPOR,SILVER,Front,146093,10372,9440,3.5,F,6,Pure
3N1AB6AP6AL631517,975,2010,NISSAN,SENTRA,SENTRA 2.0,SEDAN 4D,RED,Front,120724,5625,4206,2.0,F,4,Minimum
4JGBB8GB1AA594906,3900,2010,MERCEDES-BENZ,ML 350 4MA,ML 350 4MA,4DR SPOR,BLACK,Front,74481,13192,9661,3.5,All,6,Minimum
19XFA1F50AE070719,1950,2010,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BURGUNDY,Front,108064,7802,0,1.8,F,4,Pure
JM1NC2FF0A0206991,1800,2010,MAZDA,MX5,MX-5 MIATA,CONVERTI,MAROON,Front,61255,13484,13828,2.0,R,4,Minimum
JTHBE1KS5A0047846,1650,2010,LEXUS,GS350,GS 350,SEDAN 4D,BLUE,Rear,147223,10260,10000,3.5,R,6,Pure
4JGBB5GB6AA595659,6600,2010,MERCEDES-BENZ,ML 350,ML 350,4DR SPOR,WHITE,Rear,86030,11661,9025,3.5,R,6,Pure
3N1AB6AP5AL626129,1600,2010,NISSAN,SENTRA,SENTRA 2.0,SEDAN 4D,WHITE,Rear,57696,5594,3044,2.0,F,4,Minimum
1N4AL2APXAN526214,225,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,BLACK,Front,126078,5913,5705,2.5,F,4,Minimum
WDDGF5EB5AR108752,3100,2010,MERCEDES-BENZ,C CLASS,C 300,SEDAN 4D,CHARCOAL,Front,106177,8500,0,3.0,R,6,Minimum
1NXBU4EE4AZ266734,2400,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,GOLD,Front,123135,7353,6796,1.8,F,4,Pure
19XFA1F58AE030856,900,2010,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,WHITE,Front,170075,5264,5749,1.8,F,4,Minimum
4T1BF3EK0AU116968,2600,2010,TOYOTA,CAMRY BASE,Camry BASE,SEDAN 4D,SILVER,Rear,50985,9802,0,2.5,F,4,Pure
4JGCB6FB3AA102175,1600,2010,MERCEDES-BENZ,R 350 4MAT,R 350 4MAT,4DR SPOR,WHITE,Side,199909,9757,0,3.5,All,6,Pure
2T3ZF4DV7AW027597,3300,2010,TOYOTA,RAV4,RAV4,4DR SPOR,TEAL,Rear,126207,9014,0,2.5,F,4,Pure
JTMZF4DV5AD019107,2850,2010,TOYOTA,RAV4,RAV4,4DR SPOR,BLUE,Rear,112994,8606,7898,2.5,F,4,Pure
WDDGF5EB2AR096057,5400,2010,MERCEDES-BENZ,C CLASS,C 300,SEDAN 4D,WHITE,Front,83106,9953,8443,3.0,R,6,Minimum
3VWAZ7AJ8AM102829,1400,2010,VOLKSWAGEN,JETTA,JETTA LIMI,SEDAN 4D,RED,Front,98232,5295,4161,2.5,F,5,Minimum
WDDHF7HB4AA116125,11300,2010,MERCEDES-BENZ,E 63 AMG,E 63 AMG,SEDAN 4D,WHITE,Minor,167582,24500,0,6.2,R,8,Minimum
WBAUP9C59AVF49449,1750,2010,BMW,128 I,128 I,COUPE,BLUE,Side,90872,9882,0,3.0,R,6,Pure
1NXBU4EE8AZ196011,1700,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,GRAY,Front,133216,6431,4925,1.8,F,4,Pure
WA1LKAFP3AA081941,2500,2010,AUDI,Q5,Q5 PREMIUM,4DR SPOR,BLUE,Rear,164226,9271,0,3.2,All,6,Pure
2T2BK1BA1AC025507,6200,2010,LEXUS,RX 350,RX 350,4DR SPOR,GRAY,Front,105889,14439,8924,3.5,All,6,Pure
WAUEFAFL1AN009576,1800,2010,AUDI,A4,A4 PREMIUM,SEDAN 4D,BLACK,Front,145685,6858,3583,2.0,F,4,Minimum
19UUA8F59AA015819,1950,2010,ACURA,TL,TL,SEDAN 4D,BLACK,Rear,102934,9700,0,3.5,F,6,Minimum
4T1BF3EK1AU043626,1700,2010,TOYOTA,CAMRY BASE,Camry BASE,SEDAN 4D,GRAY,Front,124335,7024,0,2.5,F,4,Pure
WDDGF7HB3AF485105,9500,2010,MERCEDES-BENZ,AMG,C 63 AMG,SEDAN 4D,SILVER,Side,120202,22711,24258,6.2,R,8,Minimum
WAULFAFH6AN006014,2500,2010,AUDI,A5 PREMIUM,A5 PREMIUM,CONVERTI,GRAY,Front,117435,14018,7553,2.0,All,4,Minimum
WDDGF7HB4AF387992,8300,2010,MERCEDES-BENZ,AMG,C 63 AMG,SEDAN 4D,GRAY,Front,106977,24202,29458,6.2,R,8,Minimum
WBAEB5C54AC225989,8000,2010,BMW,6 SERIES,650 I,CONVERTI,BLACK,Front,68168,22438,8176,4.8,R,8,Minimum
WDDGF7HB2AF389739,9400,2010,MERCEDES-BENZ,AMG,C 63 AMG,SEDAN 4D,GRAY,Front,92434,24327,22457,6.2,R,8,Minimum
WDCGG5GB7AF487415,6200,2010,MERCEDES-BENZ,GLK 350,GLK 350,4DR SPOR,WHITE,Front,125128,14201,8565,3.5,R,6,Minimum
3N1AB6AP2AL608610,1400,2010,NISSAN,SENTRA,SENTRA 2.0,SEDAN 4D,BLACK,Side,138170,4308,4209,2.0,F,4,Pure
1N4AL2EP5AC177128,1000,2010,NISSAN,ALTIMA,ALTIMA S,COUPE,BLACK,Front,126908,5943,5851,2.5,F,4,Minimum
WDDGF8BB7AR096111,2850,2010,MERCEDES-BENZ,C CLASS,C 300 4MAT,SEDAN 4D,BLACK,Rear,138322,6798,7994,3.0,All,6,Pure
1N4AL2EP0AC121694,425,2010,NISSAN,ALTIMA,ALTIMA S,COUPE,BLACK,Rear,95893,6672,9452,2.5,F,4,Minimum
1N4AL2AP7AN434011,950,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,BLUE,Front,165327,4127,3963,2.5,F,4,Pure
5J6RE3H36AL026640,2250,2010,HONDA,CR-V LX,CR-V LX,4DR SPOR,BLUE,Front,119756,7225,9048,2.4,F,4,Pure
JN8AS5MT3AW030256,1000,2010,NISSAN,ROGUE S,ROGUE S,4DR SPOR,GRAY,Front,127316,5915,4785,2.5,F,4,Pure
1NXBU4EE7AZ284788,3300,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,SILVER,Rear,62024,5135,4549,1.8,F,4,Pure
4T1BF3EK1AU047935,2600,2010,TOYOTA,CAMRY BASE,Camry BASE,SEDAN 4D,RED,Front,124965,4859,4605,2.5,F,4,Pure
2HNYD2H60AH529287,2250,2010,ACURA,MDX,MDX TECHNO,4DR SPOR,BURGUNDY,Front,121980,10242,15339,3.7,All,6,Minimum
JTMYF4DV4A5022103,4350,2010,TOYOTA,RAV4 LIMIT,RAV4 LIMIT,4DR SPOR,WHITE,Front,108309,11064,9503,2.5,F,4,Minimum
JTHBK1EG4A2370824,4400,2010,LEXUS,ES350,ES 350,SEDAN 4D,GRAY,Rear,111866,8853,6494,3.5,F,6,Pure
WDDGF5EB2AR096804,1900,2010,MERCEDES-BENZ,C CLASS,C 300,SEDAN 4D,WHITE,Front,101180,8038,0,3.0,R,6,Pure
WA1LKAFP0AA098065,2350,2010,AUDI,Q5,Q5 PREMIUM,4DR SPOR,BLACK,Front,84701,11894,16301,3.2,All,6,Pure
2T1BU4EEXAC298248,2700,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,RED,Front,73132,5859,0,1.8,F,4,Pure
1HGCP2F85AA153861,625,2010,HONDA,ACCORD EXL,ACCORD EXL,SEDAN 4D,SILVER,Front,119963,8935,8477,2.4,F,4,Minimum
JN8AZ2KR4AT168052,1350,2010,NISSAN,CUBE BASE,CUBE BASE,4DR SPOR,BURGUNDY,Front,97096,6188,5429,1.8,F,4,Minimum
5J6RE3H71AL041789,3300,2010,HONDA,CR-V EXL,CR-V EXL,4DR SPOR,GRAY,Front,95819,10670,7957,2.4,F,4,Minimum
1NXBU4EE2AZ303960,2300,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,BLACK,Front,91272,7219,4639,1.8,F,4,Minimum
1N4AL2EP6AC112577,600,2010,NISSAN,ALTIMA,ALTIMA S,COUPE,BLUE,Front,133936,6316,0,2.5,F,4,Minimum
2T2ZK1BA4AC005380,7100,2010,LEXUS,RX 350,RX 350,4DR SPOR,BLUE,Front,91266,13741,9278,3.5,F,6,Pure
WDDHF5GB8AA024957,8800,2010,MERCEDES-BENZ,E 350,E 350,SEDAN 4D,WHITE,Front,87945,14898,0,3.5,R,6,Minimum
WBAPK7C50AA458218,1900,2010,BMW,3 SERIES,328 XI,SEDAN 4D,WHITE,Mechanical,127102,7200,0,3.0,All,6,Approval
JTHBK1EG6A2386121,3450,2010,LEXUS,ES350,ES 350,SEDAN 4D,GRAY,Front,96880,10095,8775,3.5,F,6,Minimum
JN8AS5MT8AW505299,1500,2010,NISSAN,ROGUE S,ROGUE S,4DR SPOR,BLACK,Front,138947,5246,5252,2.5,F,4,Pure
1N4AL2AP3AN564237,950,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,WHITE,Rear,155224,4241,5698,2.5,F,4,Pure
1YVHZ8BH8A5M45580,500,2010,MAZDA,6,6 I,SEDAN 4D,RED,Mechanical,192713,5650,0,2.5,F,4,Minimum
JN8AS5MT5AW013281,850,2010,NISSAN,ROGUE S,ROGUE S,4DR SPOR,RED,Front,103649,6623,6623,2.5,F,4,Pure
WBANW1C53AC166138,2650,2010,BMW,535 I,535 I,SEDAN 4D,GRAY,Front,81841,9526,8605,3.0,R,6,Pure
5FNYF4H60AB013626,2450,2010,HONDA,PILOT EXL,PILOT EXL,4DR SPOR,SILVER,Rear,116748,13544,0,3.5,All,6,Pure
5FNYF4H92AB008728,3550,2010,HONDA,PILOT TOUR,PILOT TOUR,4DR SPOR,WHITE,Rear,155147,11654,0,3.5,All,6,Minimum
2T3WF4DV6AW045740,2900,2010,TOYOTA,RAV4 SPORT,RAV4 SPORT,4DR SPOR,GRAY,Side,144848,7804,0,2.5,F,4,Minimum
4T3BK3BBXAU039629,4000,2010,TOYOTA,VENZA,VENZA,4DR SPOR,BLACK,Front,189806,8217,15711,3.5,All,6,Minimum
19UUA8F26AA019672,925,2010,ACURA,TL,TL,SEDAN 4D,BLACK,Front,150829,7866,0,3.5,F,6,Minimum
WDDGF8BB7AF441624,3350,2010,MERCEDES-BENZ,C CLASS,C 300 4MAT,SEDAN 4D,SILVER,Side,76469,10966,11609,3.0,All,6,Minimum
2HGFG1B66AH504712,675,2010,HONDA,CIVIC LX,CIVIC LX,COUPE,GRAY,Front,151114,4510,8627,1.8,F,4,Pure
5J6RE3H51AL027714,3600,2010,HONDA,CR-V EX,CR-V EX,4DR SPOR,BLUE,Front,124203,9214,0,2.4,F,4,Pure
5J6RE4H72AL061667,5300,2010,HONDA,CR-V EXL,CR-V EXL,4DR SPOR,RED,Side,44184,13547,6148,2.4,All,4,Pure
JTDBT4K33A4074912,1900,2010,TOYOTA,YARIS,YARIS,SEDAN 4D,WHITE,Side,102636,4943,0,1.5,F,4,Pure
2HGFA1F85AH507856,2700,2010,HONDA,CIVIC,CIVIC EX,SEDAN 4D,SILVER,Front,117790,8500,0,1.8,F,4,Minimum
1NXBU4EE5AZ275572,2350,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,SILVER,Rear,115095,5440,8101,1.8,F,4,Minimum
JTDBU4EE1A9118791,1650,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,GRAY,Front,165679,5012,6156,1.8,F,4,Pure
JM1BL1SF0A1343796,1600,2010,MAZDA,3,3 I,SEDAN 4D,GRAY,Side,93977,6196,0,2.0,F,4,Pure
WDCGG5GB8AF431158,8000,2010,MERCEDES-BENZ,GLK 350,GLK 350,4DR SPOR,WHITE,Front,52402,12954,4991,3.5,R,6,Minimum
1N4AL2AP4AN496711,950,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,WHITE,Front,143427,5100,5298,2.5,F,4,Minimum
3VWJX7AJ2AM011870,1150,2010,VOLKSWAGEN,JETTA,JETTA S,SEDAN 4D,GRAY,Rear,83565,5587,4984,2.5,F,5,Minimum
JM1BL1S55A1179100,1950,2010,MAZDA,3 S,3 S,SEDAN 4D,BLACK,Rear,61691,8853,5776,2.5,F,4,Minimum
1N4AL2AP7AN495911,575,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,GOLD,Front,166788,5484,4538,2.5,F,4,Pure
JN8AZ1MW2AW138639,1250,2010,NISSAN,MURANO S,MURANO S,4DR SPOR,BURGUNDY,Side,173405,8141,11149,3.5,All,6,Minimum
2T1BU4EE6AC483851,3100,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,GREEN,Under,69928,8150,4818,1.8,F,4,Pure
2T3ZK4DVXAW004598,2050,2010,TOYOTA,RAV4,RAV4,4DR SPOR,BLUE,Rear,158918,7769,5331,3.5,F,6,Minimum
1NXBU4EE2AZ285220,3100,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,GRAY,Side,143786,5817,4477,1.8,F,4,Minimum
1HGCS1B32AA014063,650,2010,HONDA,ACCORD LX,ACCORD LX,COUPE,RED,Front,144437,5972,7992,2.4,F,4,Minimum
4T1BF3EK1AU087092,1200,2010,TOYOTA,CAMRY BASE,Camry BASE,SEDAN 4D,SILVER,Front,197040,6180,0,2.5,F,4,Pure
1YVHZ8BH0A5M33679,875,2010,MAZDA,6,6 I,SEDAN 4D,BLACK,Rear,174115,4410,1957,2.5,F,4,Pure
1HGCP2F38AA036666,375,2010,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,GRAY,Front,170227,8542,8542,2.4,F,4,Minimum
1N4AA5AP8AC874399,1550,2010,NISSAN,MAXIMA S,MAXIMA S,SEDAN 4D,SILVER,Front,165140,6388,0,3.5,F,6,Pure
JN8AZ1MU1AW019284,1600,2010,NISSAN,MURANO S,MURANO S,4DR SPOR,SILVER,Front,94546,10077,0,3.5,F,6,Minimum
JN8AZ1MW8AW132067,1950,2010,NISSAN,MURANO S,MURANO S,4DR SPOR,GOLD,Front,147784,7660,5841,3.5,All,6,Pure
JM1BL1SF8A1247544,800,2010,MAZDA,3,3 I,SEDAN 4D,BLUE,Front,137772,4451,6509,2.0,F,4,Minimum
2HGFG1B80AH511155,300,2010,HONDA,CIVIC,CIVIC EX,COUPE,BLACK,Front,122171,5744,6886,1.8,F,4,Pure
1N4AL2AP9AN402726,325,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,SILVER,Front,89003,6599,3804,2.5,F,4,Minimum
1N4AL2EP5AC182622,550,2010,NISSAN,ALTIMA,ALTIMA S,COUPE,WHITE,Front,116813,6546,5592,2.5,F,4,Minimum
1HGCP2F77AA054904,600,2010,HONDA,ACCORD EX,ACCORD EX,SEDAN 4D,BLACK,Rear,191528,6896,7015,2.4,F,4,Minimum
2HGFA1F57AH578210,2100,2010,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BLACK,Front,74466,7249,0,1.8,F,4,Pure
2HGFA1F54AH310702,975,2010,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,GRAY,Side,108291,6829,7945,1.8,F,4,Minimum
JM3TB3MV2A0215791,1100,2010,MAZDA,CX-9,CX-9,4DR SPOR,GRAY,Rear,145269,6055,4887,3.7,All,6,Pure
19XFA1F89AE043030,3000,2010,HONDA,CIVIC,CIVIC EX,SEDAN 4D,SILVER,Rear,63232,8229,6374,1.8,F,4,Minimum
2HGFA1F36AH562384,950,2010,HONDA,CIVIC,CIVIC VP,SEDAN 4D,CHARCOAL,Rear,142641,5115,4531,1.8,F,4,Pure
WDDHF8HB1AA218097,3650,2010,MERCEDES-BENZ,E 350 4MAT,E 350 4MAT,SEDAN 4D,SILVER,Front,90456,12762,9666,3.5,All,6,Pure
WA1LKAFP8AA090747,1950,2010,AUDI,Q5,Q5 PREMIUM,4DR SPOR,WHITE,Front,168467,8157,9229,3.2,All,6,Pure
JM1BL1SG6A1260740,1100,2010,MAZDA,3,3 I,SEDAN 4D,BLACK,Minor,153931,7800,0,2.0,F,4,Minimum
JM1BL1SG0A1284760,0,2010,MAZDA,3,3 I,SEDAN 4D,BLACK,Front,115388,4879,4944,2.0,F,4,Pure
1N4AL2AP5AN567012,1300,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,GRAY,Rear,99773,7005,5764,2.5,F,4,Minimum
1N4AL2AP6AN523648,525,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,GRAY,Rear,30703,7230,10375,2.5,F,4,Minimum
3VWJZ7AJ2AM009448,250,2010,VOLKSWAGEN,JETTA,JETTA S,SEDAN 4D,GRAY,Rear,182134,4059,3368,2.5,F,5,Minimum
2T1BU4EE3AC239901,0,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,BLACK,Front,132473,6314,0,1.8,F,4,Pure
5TDJK3EH0AS021623,3900,2010,TOYOTA,HIGHLANDER,HIGHLANDER,4DR SPOR,BLACK,ROLLOVER,134250,10199,13495,3.5,All,6,Minimum
2T1BU4EE1AC278633,0,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,BLACK,Rear,226117,6375,0,1.8,F,4,Minimum
2HNYD2H63AH530739,4050,2010,ACURA,MDX,MDX TECHNO,4DR SPOR,WHITE,Rear,156469,9000,8067,3.7,All,6,Pure
JN8AS5MV8AW138874,1350,2010,NISSAN,ROGUE S,ROGUE S,4DR SPOR,WHITE,Front,65057,8855,8855,2.5,All,4,Minimum
JTMDF4DV2A5019876,5400,2010,TOYOTA,RAV4 LIMIT,RAV4 LIMIT,4DR SPOR,RED,Front,82288,11659,10473,2.5,All,4,Minimum
JTHBK1EG1A2382557,3850,2010,LEXUS,ES350,ES 350,SEDAN 4D,RED,Rear,106981,9656,8036,3.5,F,6,Minimum
19UUA8F27AA005621,1850,2010,ACURA,TL,TL,SEDAN 4D,GRAY,Front,148104,8432,6595,3.5,F,6,Minimum
5J6RE4H54AL028474,2750,2010,HONDA,CR-V EX,CR-V EX,4DR SPOR,BLUE,Rear,121931,8007,11130,2.4,All,4,Minimum
1N4AL2AP3AN564111,2150,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,BLUE,Side,65972,8671,3872,2.5,F,4,Pure
5J6RE4H7XAL090723,2900,2010,HONDA,CR-V EXL,CR-V EXL,4DR SPOR,BROWN,Front,141822,10050,8134,2.4,All,4,Pure
1N4AL2AP3AN546952,600,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,BLACK,Front,131581,5105,2565,2.5,F,4,Pure
19XFA1F52AE005712,550,2010,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,GRAY,Front,176814,4276,0,1.8,F,4,Minimum
3N1AB6AP4AL625120,650,2010,NISSAN,SENTRA,SENTRA 2.0,SEDAN 4D,WHITE,Front,102237,5390,0,2.0,F,4,Pure
19UUA8F23AA023162,0,2010,ACURA,TL,TL,SEDAN 4D,GRAY,Front,81141,10125,11000,3.5,F,6,Minimum
19UUA8F57AA005953,2350,2010,ACURA,TL,TL,SEDAN 4D,BLACK,Rear,95306,9845,7760,3.5,F,6,Pure
JTEBK3EH3A2163794,4650,2010,TOYOTA,HIGHLANDER,HIGHLANDER,4DR SPOR,WHITE,Front,175482,6338,7433,3.5,All,6,Minimum
WBAPH7G54ANM48342,2650,2010,BMW,328 I,328 I,SEDAN 4D,WHITE,Rear,116237,6925,0,3.0,R,6,Pure
5KBCP3F71AB002181,1450,2010,HONDA,ACCORD EX,ACCORD EX,SEDAN 4D,BLACK,Rear,159570,6205,6895,3.5,F,6,Pure
JM1BL1SG5A1145093,400,2010,MAZDA,3,3 I,SEDAN 4D,BLACK,Front,87291,6787,6787,2.0,F,4,Minimum
5J8TB2H51AA004199,1850,2010,ACURA,RDX TECHNO,RDX TECHNO,4DR SPOR,BLACK,Minor,177564,5940,6921,2.3,F,4,Minimum
5N1AR1NB9AC600652,4400,2010,NISSAN,PATHFINDER,PATHFINDER,4DR SPOR,BLACK,Minor,126113,10828,0,4.0,4x4,6,Minimum
2T2BK1BA3AC073428,3750,2010,LEXUS,RX 350,RX 350,4DR SPOR,SILVER,Front,107233,14993,15160,3.5,All,6,Minimum
5N1AR1NB6AC624584,1350,2010,NISSAN,PATHFINDER,PATHFINDER,4DR SPOR,GRAY,Side,150599,7186,16922,4.0,4x4,6,Minimum
1N4AL2AP9AC108092,1750,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,BURGUNDY,Rear,110086,5138,7766,2.5,F,4,Pure
5J6RE4H52AL000298,2450,2010,HONDA,CR-V EX,CR-V EX,4DR SPOR,BLACK,Front,117941,8488,8751,2.4,All,4,Pure
2T1BU4EEXAC515104,1050,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,TEAL,Front,89368,6771,0,1.8,F,4,Pure
WDDGF8BB8AR120688,3850,2010,MERCEDES-BENZ,C CLASS,C 300 4MAT,SEDAN 4D,WHITE,Front,89392,7408,7075,3.0,All,6,Pure
WBAWC3C51AP470375,1650,2010,BMW,3 SERIES,328 XI,COUPE,SILVER,Wear,121476,7675,0,3.0,All,6,Minimum
JM1BL1SG6A1228029,1400,2010,MAZDA,3,3 I,SEDAN 4D,BLACK,Side,67056,6183,4069,2.0,F,4,Pure
JTDBU4EE1AJ071549,1550,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,BLUE,Rear,89827,5635,5166,1.8,F,4,Minimum
1N4AL2APXAC141232,900,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,GRAY,Rear,149993,5267,4680,2.5,F,4,Minimum
1NXBU4EE5AZ281811,1950,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,BLUE,Front,107823,5423,5976,1.8,F,4,Pure
JM3TB2MA6A0210200,1400,2010,MAZDA,CX-9,CX-9,4DR SPOR,BLACK,ALL OVER,99483,8955,0,3.7,F,6,Minimum
1N4AL2AP5AN446951,500,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,BLACK,Rear,131697,5504,7143,2.5,F,4,Pure
1NXBU4EE4AZ268919,1650,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,SILVER,Side,181033,6352,13612,1.8,F,4,Minimum
WDDKJ5GB2AF030504,3150,2010,MERCEDES-BENZ,E 350,E 350,COUPE,WHITE,Front,208634,5963,14872,3.5,R,6,Minimum
2HGFA1F55AH529054,1150,2010,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,CHARCOAL,Front,144734,4463,4463,1.8,F,4,Pure
2T1BU4EE5AC292003,2200,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,SILVER,ALL OVER,195222,4529,0,1.8,F,4,Pure
4JGBB8GB8AA603584,6300,2010,MERCEDES-BENZ,ML 350 4MA,ML 350 4MA,4DR SPOR,BLACK,Front,111404,12688,9743,3.5,All,6,Minimum
1N4AL2AP8AN445101,700,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,SILVER,Front,91338,6256,8253,2.5,F,4,Minimum
2HGFG1B69AH533380,850,2010,HONDA,CIVIC LX,CIVIC LX,COUPE,BLACK,Rear,127220,6103,7187,1.8,F,4,Minimum
1N4AL2AP2AN431789,750,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,BLACK,Side,143432,5840,9901,2.5,F,4,Minimum
WAUBFAFL9AN013149,1800,2010,AUDI,A4,A4 PREMIUM,SEDAN 4D,GRAY,Front,135665,8143,5923,2.0,All,4,Minimum
1N4AL2AP6AN549232,1050,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,GRAY,Rear,120051,6363,4627,2.5,F,4,Minimum
5J6RE4H71AL026988,4550,2010,HONDA,CR-V EXL,CR-V EXL,4DR SPOR,BLACK,Rear,109316,12069,8983,2.4,All,4,Minimum
WDDHF8HB7AA157192,4650,2010,MERCEDES-BENZ,E 350 4MAT,E 350 4MAT,SEDAN 4D,SILVER,Front,117540,13170,11587,3.5,All,6,Minimum
3N1BC1AP9AL386846,725,2010,NISSAN,VERSA,VERSA S,SEDAN 4D,BLUE,Front,76068,5440,3991,1.8,F,4,Minimum
2T1BU4EE6AC375195,1750,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,TURQUOISE,Front,130566,7409,6187,1.8,F,4,Minimum
5TDYK4CC9AS300211,4400,2010,TOYOTA,SIENNA XLE,SIENNA XLE,SPORTS V,BLACK,Rear,100407,10773,8320,3.5,F,6,Minimum
WA1LKAFP7AA085796,3800,2010,AUDI,Q5,Q5 PREMIUM,4DR SPOR,SILVER,Rear,95561,12242,9615,3.2,All,6,Minimum
JM1BL1SF6A1106634,950,2010,MAZDA,3,3 I,SEDAN 4D,BURGUNDY,Front,124806,6111,5113,2.0,F,4,Minimum
1NXBU4EE7AZ321936,2500,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,BLACK,Rear,122904,6358,6807,1.8,F,4,Minimum
1HGCP2F33AA127196,1300,2010,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,GRAY,Rear,165375,7801,6505,2.4,F,4,Minimum
JM3ER4W3XA0325980,2150,2010,MAZDA,CX-7,CX-7,4DR SPOR,BLACK,Front,103373,7396,0,2.3,All,4,Approval
JTEBU5JR3A5005281,9500,2010,TOYOTA,4RUNNER SR,4RUNNER SR,4DR SPOR,WHITE,Side,160841,17430,14175,4.0,All,6,Minimum
19XFA1F58AE053747,1850,2010,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BLACK,Front,81921,7864,5827,1.8,F,4,Minimum
5FNRL3H93AB020541,1950,2010,HONDA,ODYSSEY TO,ODYSSEY TO,SPORTS V,BLACK,Front,123662,11356,8875,3.5,F,6,Minimum
1HGCS1B85AA008799,800,2010,HONDA,ACCORD EXL,ACCORD EXL,COUPE,BLUE,Front,145268,8808,8808,2.4,F,4,Minimum
