"","VIN","Price","Year","Make","Model.Group","Model.Detail","Body.Style","Color","Damage.Description","Odometer","Est..Retail.Value","Repair.cost","Engine","Drive","Cylinders","Sale.Status","ImportPrice","ShippingCost"
"187","1N4AL3AP8GC177550",5000,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","WHITE","Front",88387,12797,11914,2.5,"F",4,"Minimum",3864,3000
"188","1N4AA6AP7GC406825",4950,2016,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","WHITE","Rear",51055,18432,15411,3.5,"F",6,"Pure",3839,3000
"189","3N1CN7AP0GL861908",1800,2016,"NISSAN","VERSA","VERSA S","SEDAN 4D","RED","Front",36110,9095,8184,1.6,"F",4,"Pure",2274,3000
"190","1N4AL3AP3GC256995",3200,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","RED","Side",34793,13789,0,2.5,"F",4,"Minimum",2969,3000
"191","1N4AL3AP6GC166661",3350,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","BLUE","Rear",25594,15303,11158,2.5,"F",4,"Pure",3044,3000
"192","3N1AB7AP7GY262359",1800,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","BLUE","Front",51949,11345,10775,1.8,"F",4,"Pure",2274,3000
"193","1N4AL3AP6GC143414",3350,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","GRAY","Front",72647,12751,0,2.5,"F",4,"Pure",3044,3000
"194","3N1AB7AP2GY278646",1000,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","GRAY","Front",47148,12008,0,1.8,"F",4,"Minimum",1876,3000
"195","3N1CN7AP4GL819631",2100,2016,"NISSAN","VERSA","VERSA S","SEDAN 4D","RED","Front",56045,8519,5314,1.6,"F",4,"Minimum",2423,3000
"196","3N1AB7AP0GL648912",2900,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","BLACK","Side",60909,10081,9926,1.8,"F",4,"Minimum",2820,3000
"197","3N1CN7AP2GL900790",1400,2016,"NISSAN","VERSA","VERSA S","SEDAN 4D","SILVER","Side",48201,10327,0,1.6,"F",4,"Minimum",2075,3000
"198","3N1AB7AP1GY270330",2100,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","GRAY","Front",43560,11211,11398,1.8,"F",4,"Minimum",2423,3000
"199","1N4AL3AP8GC214970",4900,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","BLACK","Side",41363,13966,6816,2.5,"F",4,"Minimum",3814,3000
"200","1N4BL3APXGC160561",1400,2016,"NISSAN","ALTIMA","ALTIMA 3.5","SEDAN 4D","BLACK","Rear",62209,15464,19073,3.5,"F",6,"Minimum",2840,3000
"201","1N4AL3AP8GC218209",2800,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","GRAY","Rear",56751,11379,8325,2.5,"F",4,"Pure",2771,3000
"202","3N1CN7AP2GL878306",1200,2016,"NISSAN","VERSA","VERSA S","SEDAN 4D","BLACK","Side",13515,10787,11566,1.6,"F",4,"Pure",1976,3000
"203","3N1CN7AP2GL845953",1850,2016,"NISSAN","VERSA","VERSA S","SEDAN 4D","SILVER","Rear",10322,10797,5292,1.6,"F",4,"Pure",2299,3000
"204","1N4AA6AP3GC402352",3750,2016,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BLACK","Front",40033,19142,9983,3.5,"F",6,"Pure",3399,3000
"205","1N4AL3AP7GC224972",2950,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","BLACK","Side",71369,10327,9650,2.5,"F",4,"Pure",2845,3000
"206","3N1CN7AP1GL859276",1500,2016,"NISSAN","VERSA","VERSA S","SEDAN 4D","BLUE","Front",45934,9326,1620,1.6,"F",4,"Pure",2125,3000
"207","3N1AB7AP9GY283472",1950,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","WHITE","Front",70607,8455,11226,1.8,"F",4,"Minimum",2348,3000
"208","3N1AB7AP3GY247860",1800,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","WHITE","Mechanical",89438,7267,3000,1.8,"F",4,"Minimum",2274,3000
"209","3N1CN7AP6GL814589",2650,2016,"NISSAN","VERSA","VERSA S","SEDAN 4D","SILVER","Rear",87741,7957,5464,1.6,"F",4,"Pure",2696,3000
"210","5N1AR2MM1GC614093",6600,2016,"NISSAN","PATHFINDER","PATHFINDER","4DR SPOR","SILVER","Front",28722,24712,18886,3.5,"4x4",6,"Minimum",4658,3000
"211","1N4AL3AP5GC268064",3500,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","BLUE","Side",29683,11158,8421,2.5,"F",4,"Pure",3118,3000
"212","1N4AA6AP4GC407141",4150,2016,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","WHITE","Front",57731,19732,14391,3.5,"F",6,"Minimum",3494,3000
"213","3N1AB7AP3GY339356",2100,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","CHARCOAL","Front",59329,10487,0,1.8,"F",4,"Approval",2423,3000
"214","1N4AL3AP9GC260727",1800,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","GRAY","Front",80764,9714,9714,2.5,"F",4,"Pure",2407,3000
"215","1N4AL3AP7GN390221",4100,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","GRAY","Front",21406,14598,0,2.5,"F",4,"Minimum",3416,3000
"216","1N4AL3AP2GC259791",1750,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","WHITE","Rear",26909,14380,12106,2.5,"F",4,"Minimum",2395,3000
"217","1N4AL3AP3GN366305",2850,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","BLACK","Front",41557,12026,11247,2.5,"F",4,"Minimum",2795,3000
"218","3N1AB7AP8GY213770",1750,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","BLUE","Rear",79771,6171,0,1.8,"F",4,"Pure",2249,3000
"219","3N1CN7AP5GL916739",1750,2016,"NISSAN","VERSA","VERSA S","SEDAN 4D","WHITE","Side",9283,9008,8496,1.6,"F",4,"Pure",2249,3000
"220","3N1CN7AP5GL837717",725,2016,"NISSAN","VERSA","VERSA S","SEDAN 4D","BLUE","Front",77969,6320,12413,1.6,"F",4,"Pure",1740,3000
